rung,scenario_id,trial,verdict
R6,r-0287,1,0
R6,r-0287,2,0
R6,r-0287,3,0
R6,r-0288,1,0
R6,r-0288,2,0
R6,r-0288,3,0
R6,r-0289,1,0
R6,r-0289,2,0
R6,r-0289,3,0
R6,r-0290,1,0
R6,r-0290,2,0
R6,r-0290,3,0
R6,r-0291,1,0
R6,r-0291,2,0
R6,r-0291,3,0
R6,r-0292,1,0
R6,r-0292,2,0
R6,r-0292,3,0
R6,r-0293,1,0
R6,r-0293,2,0
R6,r-0293,3,0
R6,r-0294,1,0
R6,r-0294,2,0
R6,r-0294,3,0
R6,r-0295,1,0
R6,r-0295,2,0
R6,r-0295,3,0
R6,r-0296,1,0
R6,r-0296,2,0
R6,r-0296,3,0
R6,r-0297,1,0
R6,r-0297,2,0
R6,r-0297,3,0
R6,r-0298,1,0
R6,r-0298,2,0
R6,r-0298,3,0
R6,r-0299,1,0
R6,r-0299,2,0
R6,r-0299,3,0
R6,r-0300,1,0
R6,r-0300,2,0
R6,r-0300,3,0
R6,r-0301,1,0
R6,r-0301,2,0
R6,r-0301,3,0
R6,r-0302,1,0
R6,r-0302,2,0
R6,r-0302,3,0
R6,r-0303,1,0
R6,r-0303,2,0
R6,r-0303,3,0
R6,r-0304,1,0
R6,r-0304,2,0
R6,r-0304,3,0
R6,r-0305,1,0
R6,r-0305,2,0
R6,r-0305,3,0
R6,r-0306,1,0
R6,r-0306,2,0
R6,r-0306,3,0
R6,r-0307,1,0
R6,r-0307,2,0
R6,r-0307,3,0
R6,r-0308,1,0
R6,r-0308,2,0
R6,r-0308,3,0
R6,r-0309,1,0
R6,r-0309,2,0
R6,r-0309,3,0
R6,r-0310,1,0
R6,r-0310,2,0
R6,r-0310,3,0
R6,r-0311,1,0
R6,r-0311,2,0
R6,r-0311,3,0
R6,r-0312,1,0
R6,r-0312,2,0
R6,r-0312,3,0
R6,r-0313,1,0
R6,r-0313,2,0
R6,r-0313,3,0
R6,r-0314,1,0
R6,r-0314,2,0
R6,r-0314,3,0
R6,r-0315,1,0
R6,r-0315,2,0
R6,r-0315,3,0
R6,r-0316,1,0
R6,r-0316,2,0
R6,r-0316,3,0
R6,r-0317,1,0
R6,r-0317,2,0
R6,r-0317,3,0
R6,r-0318,1,0
R6,r-0318,2,0
R6,r-0318,3,0
R6,r-0319,1,0
R6,r-0319,2,0
R6,r-0319,3,0
R6,r-0320,1,0
R6,r-0320,2,0
R6,r-0320,3,0
R6,r-0321,1,0
R6,r-0321,2,0
R6,r-0321,3,0
R6,r-0322,1,0
R6,r-0322,2,0
R6,r-0322,3,0
R6,r-0323,1,0
R6,r-0323,2,0
R6,r-0323,3,0
R6,r-0324,1,0
R6,r-0324,2,0
R6,r-0324,3,0
R6,r-0325,1,0
R6,r-0325,2,0
R6,r-0325,3,0
R6,r-0326,1,0
R6,r-0326,2,0
R6,r-0326,3,0
R6,r-0327,1,0
R6,r-0327,2,0
R6,r-0327,3,0
R6,r-0328,1,0
R6,r-0328,2,0
R6,r-0328,3,0
R6,r-0329,1,0
R6,r-0329,2,0
R6,r-0329,3,0
R6,r-0330,1,0
R6,r-0330,2,0
R6,r-0330,3,0
R6,r-0331,1,0
R6,r-0331,2,0
R6,r-0331,3,0
R6,r-0332,1,0
R6,r-0332,2,0
R6,r-0332,3,0
R6,r-0333,1,0
R6,r-0333,2,0
R6,r-0333,3,0
R6,r-0334,1,0
R6,r-0334,2,0
R6,r-0334,3,0
R6,r-0335,1,0
R6,r-0335,2,0
R6,r-0335,3,0
R6,r-0336,1,0
R6,r-0336,2,0
R6,r-0336,3,0
R6,r-0337,1,0
R6,r-0337,2,0
R6,r-0337,3,0
R6,r-0338,1,0
R6,r-0338,2,0
R6,r-0338,3,0
R6,r-0339,1,0
R6,r-0339,2,0
R6,r-0339,3,0
R6,r-0340,1,0
R6,r-0340,2,0
R6,r-0340,3,0
R6,r-0341,1,0
R6,r-0341,2,0
R6,r-0341,3,0
R6,r-0342,1,0
R6,r-0342,2,0
R6,r-0342,3,0
R6,r-0343,1,0
R6,r-0343,2,0
R6,r-0343,3,0
R6,r-0344,1,0
R6,r-0344,2,0
R6,r-0344,3,0
R6,r-0345,1,0
R6,r-0345,2,0
R6,r-0345,3,0
R6,r-0346,1,0
R6,r-0346,2,0
R6,r-0346,3,0
R6,r-0347,1,0
R6,r-0347,2,0
R6,r-0347,3,0
R6,r-0348,1,0
R6,r-0348,2,0
R6,r-0348,3,0
R6,r-0349,1,0
R6,r-0349,2,0
R6,r-0349,3,0
R6,r-0350,1,0
R6,r-0350,2,0
R6,r-0350,3,0
